scene_index,filename,threshold,valid_pixels,burn_pixels,predicted_burn_pixels,true_positive,false_positive,false_negative,true_negative,burn_iou,burn_precision,burn_recall,burn_f1,pixel_accuracy,ground_truth_burn_fraction,predicted_burn_fraction,burn_fraction_difference
238,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SFC.2019100.v1.4_merged.tif,0.4,262133,3388,2107,2002,105,1386,258640,0.5731462925851704,0.9501661129568106,0.5909090909090909,0.7286624203821656,0.9943120477009763,0.01292473667947187,0.008037904422564118,-0.004886832256907753
239,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SFD.2019100.v1.4_merged.tif,0.4,262138,6279,5584,4715,869,1564,254990,0.6596250699496362,0.8443767908309455,0.7509157509157509,0.7949085391553569,0.9907186291190136,0.02395303237226194,0.02130175708977714,-0.0026512752824847975
240,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SFF.2021094.v1.4_merged.tif,0.4,262144,3431,1962,1749,213,1682,258500,0.479967069154775,0.8914373088685015,0.5097639172252988,0.6486185796402745,0.9927711486816406,0.013088226318359375,0.00748443603515625,-0.005603790283203125
241,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SGD.2018155.v1.4_merged.tif,0.4,262136,3745,1315,1097,218,2648,258173,0.27681049709815797,0.8342205323193916,0.2929238985313752,0.4335968379446641,0.989066743980224,0.014286477248451186,0.005016479995117038,-0.009269997253334147
242,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SGE.2019100.v1.4_merged.tif,0.4,262144,4582,442,441,1,4141,257561,0.09622518001309185,0.997737556561086,0.0962461807071148,0.1755573248407643,0.9841995239257812,0.01747894287109375,0.00168609619140625,-0.0157928466796875
243,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16SGG.2021094.v1.4_merged.tif,0.4,262144,5598,12072,4127,7945,1471,248601,0.3047330724359448,0.34186547382372434,0.7372275812790282,0.46711941143180535,0.964080810546875,0.02135467529296875,0.046051025390625,0.02469635009765625
244,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16TDS.2019159.v1.4_merged.tif,0.4,262144,2465,3389,2271,1118,194,258561,0.6338264024560424,0.6701091767483033,0.9212981744421906,0.7758797403484797,0.9949951171875,0.009403228759765625,0.012928009033203125,0.0035247802734375
245,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16TFS.2019153.v1.4_merged.tif,0.4,261896,3285,4067,2738,1329,547,257282,0.5934113567403554,0.6732235062699778,0.8334855403348554,0.7448313384113167,0.9928368512692061,0.012543146898005316,0.01552906497235544,0.002985918074350124
246,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T16TGQ.2018133.v1.4_merged.tif,0.4,262144,15687,16743,14017,2726,1670,243731,0.7612556346059849,0.8371856895418981,0.8935424236629056,0.8644465001541781,0.9832305908203125,0.059841156005859375,0.06386947631835938,0.0040283203125
247,C:\Users\user\Desktop\Satq_Prithvi\datasets\hls_burn_scars\extracted\validation\subsetted_512x512_HLS.S30.T17RMH.2021103.v1.4_merged.tif,0.4,191308,31326,10034,9090,944,22236,159038,0.2816857762627828,0.9059198724337253,0.29017429611185597,0.4395551257253385,0.8788341313484015,0.16374641938653897,0.052449453237710914,-0.11129696614882806
